                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1963,                 4.1701,                 4.2066,                0.00345,                0.60358,                0.00362,                0.00142,                 2.7208,                 3.9506,                 4.1482,                 0.0748,                 0.0028,                 0.0028
                      1,                  3.174,                 4.0579,                 4.1688,                 0.0035,                 0.6027,                0.00449,                0.00174,                 2.7145,                 3.9181,                 4.1233,               0.048682,              0.0056818,              0.0056818
                      2,                 3.1662,                 3.9919,                 4.1262,                0.00348,                0.60197,                0.00615,                0.00214,                 2.7029,                 3.9211,                 4.0859,               0.022545,              0.0085451,              0.0085451
                      3,                  3.105,                 3.9421,                 4.0721,                0.00314,                0.57033,                0.01484,                0.00418,                 2.7648,                 4.1901,                 4.7334,              0.0099042,              0.0099042,              0.0099042
                      4,                 2.9688,                  3.829,                 3.9295,                0.00291,                0.59289,                0.01018,                0.00277,                 2.6292,                 4.3238,                 3.9266,              0.0099042,              0.0099042,              0.0099042
                      5,                 2.7942,                  3.698,                 3.6911,                0.78033,                0.10965,                0.03991,                0.01011,                 2.4881,                 7.2156,                 3.6626,              0.0098723,              0.0098723,              0.0098723
                      6,                 2.6679,                 3.5738,                 3.4148,                0.28395,                0.17977,                0.03191,                0.00674,                 2.6216,                   17.5,                  3.814,              0.0098403,              0.0098403,              0.0098403
                      7,                 2.5727,                  3.415,                 3.1964,                0.28091,                0.23819,                0.02387,                0.00601,                 2.5063,                 9.5702,                 3.2881,              0.0098084,              0.0098084,              0.0098084
                      8,                 2.5063,                 3.3298,                 3.0583,                0.29585,                0.10887,                0.04448,                0.01343,                 2.9867,                 8.0884,                 4.0184,              0.0097765,              0.0097765,              0.0097765
                      9,                 2.4023,                 3.1971,                 2.8934,                 0.3236,                0.19294,                0.07068,                0.02442,                 2.3026,                 6.3711,                 3.1597,              0.0097445,              0.0097445,              0.0097445
                     10,                 2.3281,                 3.0532,                 2.8063,                0.07017,                  0.273,                0.06918,                0.02567,                 2.2523,                 4.3353,                 3.0791,              0.0097126,              0.0097126,              0.0097126
                     11,                 2.2168,                 3.0025,                 2.6882,                0.33849,                0.31828,                0.09176,                 0.0343,                 2.1494,                 4.4306,                  2.967,              0.0096806,              0.0096806,              0.0096806
                     12,                 2.1432,                 2.8174,                 2.6322,                0.40251,                0.32336,                0.14967,                0.06275,                 1.8847,                  2.726,                 2.7117,              0.0096487,              0.0096487,              0.0096487
                     13,                 2.0095,                 2.7462,                 2.5209,                 0.0991,                0.21651,                0.08365,                0.03256,                 1.9431,                 3.1206,                  2.682,              0.0096168,              0.0096168,              0.0096168
                     14,                 1.9534,                 2.6932,                 2.4919,                0.19195,                0.40997,                0.15193,                0.06125,                 1.8474,                 2.6602,                 2.6133,              0.0095848,              0.0095848,              0.0095848
                     15,                 1.9162,                 2.6334,                 2.3986,                0.42847,                0.29393,                0.19103,                0.08456,                 1.7567,                 2.9542,                 2.5231,              0.0095529,              0.0095529,              0.0095529
                     16,                 1.8078,                 2.5223,                 2.3308,                0.43518,                0.30492,                0.18766,                0.08495,                 1.6863,                  3.241,                 2.4232,               0.009521,               0.009521,               0.009521
                     17,                 1.7124,                 2.4939,                 2.2622,                0.47289,                0.29041,                 0.2189,                0.11035,                 1.7638,                 2.6982,                 2.4684,               0.009489,               0.009489,               0.009489
                     18,                 1.6859,                  2.434,                  2.233,                0.44403,                0.29179,                0.19543,                0.09824,                 1.6757,                 2.4208,                 2.3754,              0.0094571,              0.0094571,              0.0094571
                     19,                 1.6211,                 2.3994,                 2.1693,                0.50128,                0.39492,                0.26048,                0.14277,                 1.5242,                 2.4147,                 2.2249,              0.0094252,              0.0094252,              0.0094252
                     20,                 1.6043,                 2.3458,                 2.1362,                0.45969,                 0.2786,                0.18812,                0.08223,                 1.8683,                 2.9626,                 2.5247,              0.0093932,              0.0093932,              0.0093932
                     21,                 1.5409,                 2.2134,                 2.0929,                0.43979,                0.31607,                0.19253,                0.07862,                  1.988,                 3.0698,                 2.6953,              0.0093613,              0.0093613,              0.0093613
                     22,                 1.5201,                 2.2193,                 2.0594,                0.51429,                 0.4037,                0.28096,                0.15352,                 1.4315,                 2.0613,                 2.1406,              0.0093294,              0.0093294,              0.0093294
                     23,                 1.4906,                 2.1821,                 2.0314,                0.48338,                0.41521,                0.27191,                0.15013,                 1.4979,                 2.2075,                 2.2292,              0.0092974,              0.0092974,              0.0092974
                     24,                 1.4505,                 2.1206,                 1.9659,                 0.4594,                0.34598,                0.23615,                0.11803,                 1.5848,                 2.4893,                 2.2546,              0.0092655,              0.0092655,              0.0092655
                     25,                 1.4394,                 2.1022,                 1.9555,                0.50542,                0.41592,                0.30044,                0.16936,                 1.4365,                 2.0091,                 2.0946,              0.0092335,              0.0092335,              0.0092335
                     26,                 1.4088,                 2.0864,                 1.9332,                0.30667,                0.51303,                0.32266,                 0.1904,                 1.3071,                 1.7842,                 1.9957,              0.0092016,              0.0092016,              0.0092016
                     27,                  1.413,                 2.0427,                 1.9242,                0.48227,                0.46198,                0.31965,                0.19102,                 1.2882,                 1.8667,                 1.9598,              0.0091697,              0.0091697,              0.0091697
                     28,                 1.3723,                 1.9832,                 1.8888,                0.56124,                0.49483,                0.36653,                0.23114,                 1.2051,                  1.806,                 1.8787,              0.0091377,              0.0091377,              0.0091377
                     29,                 1.3789,                 2.0114,                 1.9189,                0.54578,                0.49789,                0.36784,                0.23469,                 1.2011,                 1.7685,                 1.8721,              0.0091058,              0.0091058,              0.0091058
                     30,                 1.3401,                 1.9623,                 1.8772,                0.53168,                0.42633,                 0.3254,                0.19961,                 1.3179,                 1.9046,                 1.9872,              0.0090739,              0.0090739,              0.0090739
                     31,                 1.3045,                 1.9027,                 1.8284,                0.57013,                0.47613,                0.40294,                0.26247,                 1.1718,                 1.6072,                 1.8272,              0.0090419,              0.0090419,              0.0090419
                     32,                 1.3377,                 1.9213,                 1.8365,                0.58754,                0.50899,                0.38613,                0.25459,                 1.1476,                 1.6518,                 1.8039,                0.00901,                0.00901,                0.00901
                     33,                 1.3068,                  1.901,                 1.8208,                0.40149,                0.57533,                0.38238,                0.24651,                 1.1724,                 1.6513,                 1.8193,              0.0089781,              0.0089781,              0.0089781
                     34,                 1.2649,                 1.8636,                 1.7846,                0.25168,                0.45342,                0.27426,                 0.1452,                 1.5662,                 2.0887,                 2.2656,              0.0089461,              0.0089461,              0.0089461
                     35,                 1.2597,                 1.8601,                 1.7618,                0.45899,                 0.5028,                0.36566,                0.22201,                 1.2031,                 1.8193,                 1.8279,              0.0089142,              0.0089142,              0.0089142
                     36,                 1.2526,                 1.8507,                 1.7687,                0.52946,                 0.5793,                0.44265,                0.29288,                 1.1416,                 1.5363,                 1.7636,              0.0088823,              0.0088823,              0.0088823
                     37,                 1.2511,                 1.8082,                 1.7647,                0.35942,                0.59959,                0.40839,                0.28599,                 1.0573,                 1.4949,                  1.681,              0.0088503,              0.0088503,              0.0088503
                     38,                 1.2069,                 1.8009,                 1.7301,                0.59518,                0.54402,                0.46685,                 0.3183,                 1.0746,                 1.4641,                 1.6999,              0.0088184,              0.0088184,              0.0088184
                     39,                 1.2443,                 1.7893,                 1.7555,                0.59643,                0.49928,                0.40003,                0.26842,                 1.1128,                 1.6742,                 1.7489,              0.0087865,              0.0087865,              0.0087865
                     40,                 1.1812,                 1.7743,                 1.6991,                0.61003,                0.55472,                0.46201,                0.31703,                 1.0995,                 1.4508,                 1.7066,              0.0087545,              0.0087545,              0.0087545
                     41,                 1.1805,                  1.745,                 1.6934,                 0.4136,                0.65048,                0.45862,                0.30841,                 1.0976,                 1.4018,                 1.6867,              0.0087226,              0.0087226,              0.0087226
                     42,                 1.1602,                  1.704,                 1.6863,                0.47996,                0.62811,                0.47667,                 0.3437,                0.94791,                  1.368,                 1.5631,              0.0086906,              0.0086906,              0.0086906
                     43,                 1.1571,                 1.6406,                 1.6687,                0.51629,                0.68803,                0.49517,                0.34845,                0.98232,                 1.3766,                 1.5909,              0.0086587,              0.0086587,              0.0086587
                     44,                 1.1844,                 1.7336,                 1.7013,                0.53495,                0.60659,                0.49852,                0.35071,                 1.0081,                 1.4001,                 1.6102,              0.0086268,              0.0086268,              0.0086268
